allele,gene,rsid,chr,pos,dataset
*15,CYP3A4,rs4986907,7,99769804,Topmed Modified
*18,CYP3A4,rs28371759,7,99764003,Topmed Modified
*22,CYP3A4,rs35599367,7,99768693,Topmed Modified
*37,CYP3A4,rs35599367,7,99768693,Topmed Modified
*37,CYP3A4,rs4986910,7,99760901,Topmed Modified
*38,CYP3A4,rs4986910,7,99760901,Topmed Modified
*3,CYP3A5,rs776746,7,99672916,Topmed Modified
*6,CYP3A5,rs10264272,7,99665212,Topmed Modified
*7,CYP3A5,rs41303343,7,99652770,Topmed Modified
*4,SLCO1B1,rs11045819,12,21176879,Topmed Modified
*5,SLCO1B1,rs4149056,12,21178615,Topmed Modified
*9,SLCO1B1,rs59502379,12,21205999,Topmed Modified
*14,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*14,SLCO1B1,rs11045819,12,21176879,Topmed Modified
*15,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*15,SLCO1B1,rs4149056,12,21178615,Topmed Modified
*19,SLCO1B1,rs34671512,12,21239042,Topmed Modified
*20,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*20,SLCO1B1,rs34671512,12,21239042,Topmed Modified
*24,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*24,SLCO1B1,rs11045852,12,21196951,Topmed Modified
*25,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*25,SLCO1B1,rs11045819,12,21176879,Topmed Modified
*25,SLCO1B1,rs11045852,12,21196951,Topmed Modified
*27,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*27,SLCO1B1,rs59113707,12,21202555,Topmed Modified
*28,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*28,SLCO1B1,rs11045852,12,21196951,Topmed Modified
*29,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*30,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*30,SLCO1B1,rs79135870,12,21178957,Topmed Modified
*31,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*31,SLCO1B1,rs59502379,12,21205999,Topmed Modified
*32,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*32,SLCO1B1,rs11045819,12,21176879,Topmed Modified
*32,SLCO1B1,rs11045852,12,21196951,Topmed Modified
*33,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*33,SLCO1B1,rs11045852,12,21196951,Topmed Modified
*37,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*39,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*40,SLCO1B1,rs4149056,12,21178615,Topmed Modified
*40,SLCO1B1,rs34671512,12,21239042,Topmed Modified
*41,SLCO1B1,rs77271279,12,21176898,Topmed Modified
*42,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*43,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*43,SLCO1B1,rs11045819,12,21176879,Topmed Modified
*43,SLCO1B1,rs11045852,12,21196951,Topmed Modified
*43,SLCO1B1,rs74064213,12,21206031,Topmed Modified
*44,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*44,SLCO1B1,rs11045852,12,21196951,Topmed Modified
*44,SLCO1B1,rs74064213,12,21206031,Topmed Modified
*46,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*46,SLCO1B1,rs4149056,12,21178615,Topmed Modified
*47,SLCO1B1,rs2306283,12,21176804,Topmed Modified
*47,SLCO1B1,rs4149056,12,21178615,Topmed Modified
*7,CYP2D6,rs5030867,22,42127856,Topmed Modified
*22,CYP2D6,rs138100349,22,42130710,Topmed Modified
*28,CYP2D6,rs72549358,22,42130773,Topmed Modified
*28,CYP2D6,rs78482768,22,42129087,Topmed Modified
*31,CYP2D6,rs267608319,22,42126749,Topmed Modified
*33,CYP2D6,rs28371717,22,42128308,Topmed Modified
*44,CYP2D6,rs138100349,22,42130710,Topmed Modified
*112,CYP2D6,rs568495591,22,42126605,Topmed Modified
*126,CYP2D6,rs781457579,22,42129134,Topmed Modified
*142,CYP2D6,rs138100349,22,42130710,Topmed Modified
*172,CYP2D6,rs563185985,22,42129753,Topmed Modified
*2,CYP2C9,rs1799853,10,94942290,Topmed Modified
*3,CYP2C9,rs1057910,10,94981296,Topmed Modified
*8,CYP2C9,rs7900194,10,94942309,Topmed Modified
*11,CYP2C9,rs28371685,10,94981224,Topmed Modified
*12,CYP2C9,rs9332239,10,94989020,Topmed Modified
*18,CYP2C9,rs1057910,10,94981296,Topmed Modified
*26,CYP2C9,-,10,94942249,Topmed Modified
*27,CYP2C9,rs7900194,10,94942309,Topmed Modified
*35,CYP2C9,rs1799853,10,94942290,Topmed Modified
*44,CYP2C9,rs200965026,10,94942249,Topmed Modified
*45,CYP2C9,rs199523631,10,94942254,Topmed Modified
*61,CYP2C9,rs1799853,10,94942290,Topmed Modified
*68,CYP2C9,rs1057910,10,94981296,Topmed Modified
*71,CYP2C9,rs9332239,10,94989020,Topmed Modified
*2,CYP2C19,rs12769205,10,94775367,Topmed Modified
*2,CYP2C19,rs4244285,10,94781859,Topmed Modified
*2,CYP2C19,rs3758581,10,94842866,Topmed Modified
*3,CYP2C19,rs4986893,10,94780653,Topmed Modified
*3,CYP2C19,rs3758581,10,94842866,Topmed Modified
*4,CYP2C19,rs28399504,10,94762706,Topmed Modified
*4,CYP2C19,rs3758581,10,94842866,Topmed Modified
*5,CYP2C19,rs3758581,10,94842866,Topmed Modified
*6,CYP2C19,rs3758581,10,94842866,Topmed Modified
*7,CYP2C19,rs3758581,10,94842866,Topmed Modified
*8,CYP2C19,rs41291556,10,94775416,Topmed Modified
*8,CYP2C19,rs3758581,10,94842866,Topmed Modified
*9,CYP2C19,rs3758581,10,94842866,Topmed Modified
*10,CYP2C19,rs3758581,10,94842866,Topmed Modified
*11,CYP2C19,rs58973490,10,94775507,Topmed Modified
*11,CYP2C19,rs3758581,10,94842866,Topmed Modified
*12,CYP2C19,rs3758581,10,94842866,Topmed Modified
*13,CYP2C19,rs3758581,10,94842866,Topmed Modified
*14,CYP2C19,rs3758581,10,94842866,Topmed Modified
*15,CYP2C19,rs3758581,10,94842866,Topmed Modified
*17,CYP2C19,rs12248560,10,94761900,Topmed Modified
*17,CYP2C19,rs3758581,10,94842866,Topmed Modified
*18,CYP2C19,rs3758581,10,94842866,Topmed Modified
*19,CYP2C19,rs3758581,10,94842866,Topmed Modified
*22,CYP2C19,rs140278421,10,94780574,Topmed Modified
*22,CYP2C19,rs3758581,10,94842866,Topmed Modified
*23,CYP2C19,rs3758581,10,94842866,Topmed Modified
*24,CYP2C19,rs3758581,10,94842866,Topmed Modified
*25,CYP2C19,rs3758581,10,94842866,Topmed Modified
*26,CYP2C19,rs3758581,10,94842866,Topmed Modified
*28,CYP2C19,rs3758581,10,94842866,Topmed Modified
*29,CYP2C19,rs3758581,10,94842866,Topmed Modified
*31,CYP2C19,rs3758581,10,94842866,Topmed Modified
*32,CYP2C19,rs3758581,10,94842866,Topmed Modified
*33,CYP2C19,rs3758581,10,94842866,Topmed Modified
*35,CYP2C19,rs12769205,10,94775367,Topmed Modified
*35,CYP2C19,rs3758581,10,94842866,Topmed Modified
*38,CYP2C19,rs1554854495,10,94842866,Topmed Modified
*39,CYP2C19,rs3758581,10,94842866,Topmed Modified
