allele,gene,rsid,chr,pos,dataset
*12,NUDT15,rs149436418,13,48037902,Topmed Standard
*13,NUDT15,rs761191455,13,48041104,Topmed Standard
*14,NUDT15,rs777311140,13,48037826,Topmed Standard
*15,NUDT15,rs139551410,13,48045771,Topmed Standard
*16,NUDT15,rs1202487323,13,48037834,Topmed Standard
*17,NUDT15,rs1368252918,13,48041113,Topmed Standard
*18,NUDT15,rs1457579126,13,48040982,Topmed Standard
*19,NUDT15,.,13,48037749,Topmed Standard
*9,NUDT15,rs746071566,13,48037796,Topmed Standard
*3,NUDT15,rs116855232,13,48045719,Topmed Standard
*20,NUDT15,rs768324690,13,48045690,Topmed Standard
*3,NUDT15,rs116855232,13,48045719,Topmed Standard
*4,NUDT15,rs147390019,13,48045720,Topmed Standard
*5,NUDT15,rs186364861,13,48037798,Topmed Standard
*9,NUDT15,rs746071566,13,48037796,Topmed Standard
*7,NUDT15,rs766023281,13,48037847,Topmed Standard
*8,NUDT15,.,13,48037849,Topmed Standard
*9,NUDT15,rs746071566,13,48037796,Topmed Standard
*10,CYP2B6,rs34883432,19,40991367,Topmed Standard
*10,CYP2B6,rs8192709,19,40991369,Topmed Standard
*11,CYP2B6,rs35303484,19,40991441,Topmed Standard
*12,CYP2B6,rs36060847,19,41004125,Topmed Standard
*13,CYP2B6,rs12721655,19,41004377,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*14,CYP2B6,rs35773040,19,41004381,Topmed Standard
*15,CYP2B6,rs35979566,19,41012693,Topmed Standard
*17,CYP2B6,rs33973337,19,40991381,Topmed Standard
*17,CYP2B6,rs33980385,19,40991388,Topmed Standard
*18,CYP2B6,rs28399499,19,41012316,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*19,CYP2B6,rs34826503,19,41012339,Topmed Standard
*10,CYP2B6,rs8192709,19,40991369,Topmed Standard
*20,CYP2B6,rs36056539,19,41006923,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*21,CYP2B6,rs35010098,19,41012803,Topmed Standard
*36,CYP2B6,rs34223104,19,40991224,Topmed Standard
*23,CYP2B6,rs3211369,19,41016726,Topmed Standard
*24,CYP2B6,rs564083989,19,41016778,Topmed Standard
*25,CYP2B6,.,19,41016805,Topmed Standard
*26,CYP2B6,rs3826711,19,41006919,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*35,CYP2B6,rs36079186,19,41007013,Topmed Standard
*28,CYP2B6,rs34698757,19,41010088,Topmed Standard
*28,CYP2B6,rs34097093,19,41012465,Topmed Standard
*3,CYP2B6,rs45482602,19,41009350,Topmed Standard
*31,CYP2B6,rs193922917,19,41010108,Topmed Standard
*32,CYP2B6,rs193922918,19,41012740,Topmed Standard
*34,CYP2B6,rs3211371,19,41016810,Topmed Standard
*36,CYP2B6,rs34223104,19,40991224,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*34,CYP2B6,rs3211371,19,41016810,Topmed Standard
*36,CYP2B6,rs34223104,19,40991224,Topmed Standard
*35,CYP2B6,rs186335453,19,41004158,Topmed Standard
*35,CYP2B6,rs139801276,19,41004303,Topmed Standard
*35,CYP2B6,rs145884402,19,41004406,Topmed Standard
*35,CYP2B6,rs36079186,19,41007013,Topmed Standard
*35,CYP2B6,rs139029625,19,41010006,Topmed Standard
*36,CYP2B6,rs34223104,19,40991224,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*37,CYP2B6,rs373489637,19,41006968,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*38,CYP2B6,rs281864907,19,41004015,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*39,CYP2B6,rs535039125,19,41004380,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*40,CYP2B6,rs200458614,19,41012466,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*41,CYP2B6,rs201500445,19,41012471,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*42,CYP2B6,rs374099483,19,41016679,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*43,CYP2B6,rs117872433,19,41016741,Topmed Standard
*44,CYP2B6,rs148009906,19,41004133,Topmed Standard
*45,CYP2B6,rs58871670,19,41006967,Topmed Standard
*46,CYP2B6,.,19,41009313,Topmed Standard
*48,CYP2B6,rs200238771,19,41012478,Topmed Standard
*49,CYP2B6,rs764288403,19,41016652,Topmed Standard
*34,CYP2B6,rs3211371,19,41016810,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*43,CYP2B6,rs2279343,19,41009358,Topmed Standard
*34,CYP2B6,rs3211371,19,41016810,Topmed Standard
*13,CYP2B6,rs12721655,19,41004377,Topmed Standard
*43,CYP2B6,rs3745274,19,41006936,Topmed Standard
*4,CYP4F2,rs3093105,19,15897578,Topmed Standard
*4,CYP4F2,rs2108622,19,15879621,Topmed Standard
*4,CYP4F2,rs2108622,19,15879621,Topmed Standard
*4,CYP4F2,rs3093105,19,15897578,Topmed Standard
*5,CYP4F2,rs3093200,19,15878779,Topmed Standard
*6,CYP4F2,rs3093153,19,15890405,Topmed Standard
*7,CYP4F2,rs114099324,19,15897566,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*100,CYP2D6,rs267608279,22,42127963,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*101,CYP2D6,rs730882170,22,42127846,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*103,CYP2D6,rs267608309,22,42129821,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*121,CYP2D6,rs1135824,22,42129042,Topmed Standard
*103,CYP2D6,rs267608309,22,42129821,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*50,CYP2D6,rs267608302,22,42129071,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*105,CYP2D6,rs1555888910,22,42127523,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*106,CYP2D6,rs28371733,22,42126914,Topmed Standard
*171,CYP2D6,rs61736512,22,42129132,Topmed Standard
*127,CYP2D6,rs202102799,22,42127556,Topmed Standard
*108,CYP2D6,rs61736517,22,42127565,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*115,CYP2D6,rs5030656,22,42128176,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*11,CYP2D6,rs201377835,22,42129910,Topmed Standard
*110,CYP2D6,rs751092905,22,42126735,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*111,CYP2D6,rs535642512,22,42129759,Topmed Standard
*112,CYP2D6,rs568495591,22,42126605,Topmed Standard
*113,CYP2D6,rs569439709,22,42126752,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*114,CYP2D6,rs5030865,22,42129033,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*132,CYP2D6,rs1135829,22,42127973,Topmed Standard
*115,CYP2D6,rs5030656,22,42128176,Topmed Standard
*116,CYP2D6,rs141009491,22,42127631,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*117,CYP2D6,rs78209835,22,42127611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*118,CYP2D6,.,22,42127899,Topmed Standard
*158,CYP2D6,rs28371725,22,42127803,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*12,CYP2D6,rs5030862,22,42130668,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*121,CYP2D6,rs1135826,22,42129036,Topmed Standard
*121,CYP2D6,rs1135825,22,42129037,Topmed Standard
*121,CYP2D6,rs1135824,22,42129042,Topmed Standard
*122,CYP2D6,rs61745683,22,42127512,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*158,CYP2D6,rs28371725,22,42127803,Topmed Standard
*123,CYP2D6,rs1406719554,22,42127922,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*124,CYP2D6,rs757396767,22,42126982,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*125,CYP2D6,rs369177208,22,42126719,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*126,CYP2D6,rs781457579,22,42129134,Topmed Standard
*139,CYP2D6,rs1058172,22,42127526,Topmed Standard
*127,CYP2D6,rs202102799,22,42127556,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*128,CYP2D6,rs1456026511,22,42129887,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*129,CYP2D6,rs1180015037,22,42129155,Topmed Standard
*130,CYP2D6,.,22,42128878,Topmed Standard
*131,CYP2D6,rs17002853,22,42128325,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*132,CYP2D6,rs1135829,22,42127973,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*133,CYP2D6,.,22,42127602,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*134,CYP2D6,rs76088846,22,42127589,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*135,CYP2D6,rs747089665,22,42126926,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*170,CYP2D6,rs3021084,22,42126877,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*137,CYP2D6,rs1440526469,22,42126578,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*138,CYP2D6,rs141756339,22,42126647,Topmed Standard
*158,CYP2D6,rs28371725,22,42127803,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*139,CYP2D6,rs1058172,22,42127526,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*114,CYP2D6,rs5030865,22,42129033,Topmed Standard
*140,CYP2D6,rs373813287,22,42128329,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*162,CYP2D6,rs769157652,22,42126938,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*154,CYP2D6,rs28371706,22,42129770,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*142,CYP2D6,rs138100349,22,42130710,Topmed Standard
*143,CYP2D6,rs766391487,22,42129166,Topmed Standard
*172,CYP2D6,rs769258,22,42130761,Topmed Standard
*144,CYP2D6,rs377725912,22,42128351,Topmed Standard
*147,CYP2D6,rs72549356,22,42128942,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*148,CYP2D6,rs28371696,22,42130715,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*147,CYP2D6,rs72549356,22,42128942,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*162,CYP2D6,rs769157652,22,42126938,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*148,CYP2D6,rs28371696,22,42130715,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*149,CYP2D6,rs76802407,22,42129799,Topmed Standard
*15,CYP2D6,rs774671100,22,42130655,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*150,CYP2D6,rs763609904,22,42128820,Topmed Standard
*151,CYP2D6,rs1459127426,22,42128926,Topmed Standard
*152,CYP2D6,rs140900383,22,42128340,Topmed Standard
*153,CYP2D6,rs567606867,22,42128807,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*154,CYP2D6,rs532668079,22,42126746,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*154,CYP2D6,rs28371706,22,42129770,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*155,CYP2D6,rs760940331,22,42126715,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*156,CYP2D6,rs536109057,22,42130638,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*157,CYP2D6,rs201006451,22,42129044,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*158,CYP2D6,rs141824015,22,42127605,Topmed Standard
*158,CYP2D6,rs28371725,22,42127803,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*159,CYP2D6,rs373243894,22,42130670,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*160,CYP2D6,rs28371704,22,42129809,Topmed Standard
*160,CYP2D6,rs28371703,22,42129819,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*161,CYP2D6,rs368858603,22,42128201,Topmed Standard
*171,CYP2D6,rs374616348,22,42129183,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*162,CYP2D6,rs769157652,22,42126938,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*163,CYP2D6,rs376636053,22,42129156,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*165,CYP2D6,rs556882139,22,42128932,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*166,CYP2D6,rs777691989,22,42128329,Topmed Standard
*167,CYP2D6,.,22,42129740,Topmed Standard
*168,CYP2D6,rs755518310,22,42128864,Topmed Standard
*168,CYP2D6,rs118203758,22,42130667,Topmed Standard
*169,CYP2D6,rs1602566413,22,42126962,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*154,CYP2D6,rs28371706,22,42129770,Topmed Standard
*170,CYP2D6,rs3021084,22,42126877,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*171,CYP2D6,rs374616348,22,42129183,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs563185985,22,42129753,Topmed Standard
*172,CYP2D6,rs769258,22,42130761,Topmed Standard
*116,CYP2D6,rs141009491,22,42127631,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs769258,22,42130761,Topmed Standard
*86,CYP2D6,rs1135828,22,42128181,Topmed Standard
*18,CYP2D6,rs765776661,22,42126666,Topmed Standard
*19,CYP2D6,rs72549353,22,42128251,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*20,CYP2D6,rs72549354,22,42128817,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*21,CYP2D6,rs72549352,22,42128218,Topmed Standard
*142,CYP2D6,rs138100349,22,42130710,Topmed Standard
*23,CYP2D6,rs267608310,22,42129836,Topmed Standard
*24,CYP2D6,rs949717872,22,42127938,Topmed Standard
*25,CYP2D6,rs267608295,22,42127593,Topmed Standard
*26,CYP2D6,.,22,42127514,Topmed Standard
*162,CYP2D6,rs769157652,22,42126938,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*28,CYP2D6,rs78482768,22,42129087,Topmed Standard
*28,CYP2D6,rs72549358,22,42130773,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*171,CYP2D6,rs59421388,22,42127608,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*3,CYP2D6,rs35742686,22,42128242,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*147,CYP2D6,rs72549356,22,42128942,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*31,CYP2D6,rs267608319,22,42126749,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*162,CYP2D6,rs769157652,22,42126938,Topmed Standard
*158,CYP2D6,rs28371725,22,42127803,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*33,CYP2D6,rs28371717,22,42128308,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs769258,22,42130761,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*37,CYP2D6,rs745365204,22,42128848,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*38,CYP2D6,rs72549351,22,42128203,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*4,CYP2D6,rs3892097,22,42128945,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*147,CYP2D6,rs72549356,22,42128942,Topmed Standard
*154,CYP2D6,rs28371706,22,42129770,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*158,CYP2D6,rs28371725,22,42127803,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*42,CYP2D6,rs72549346,22,42127533,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*148,CYP2D6,rs28371696,22,42130715,Topmed Standard
*44,CYP2D6,rs72549349,22,42127841,Topmed Standard
*142,CYP2D6,rs138100349,22,42130710,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*46,CYP2D6,rs28371710,22,42129075,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*46,CYP2D6,rs28371710,22,42129075,Topmed Standard
*148,CYP2D6,rs28371696,22,42130715,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*47,CYP2D6,rs267608313,22,42130719,Topmed Standard
*103,CYP2D6,rs267608309,22,42129821,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*53,CYP2D6,rs1135822,22,42129180,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*50,CYP2D6,rs267608302,22,42129071,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*51,CYP2D6,rs72549348,22,42127619,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*106,CYP2D6,rs28371733,22,42126914,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*53,CYP2D6,rs1135823,22,42129174,Topmed Standard
*53,CYP2D6,rs1135822,22,42129180,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*54,CYP2D6,rs267608297,22,42128235,Topmed Standard
*147,CYP2D6,rs1065852,22,42130692,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*55,CYP2D6,rs1931013246,22,42126956,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*56,CYP2D6,rs72549347,22,42127590,Topmed Standard
*172,CYP2D6,rs1135840,22,42126611,Topmed Standard
*172,CYP2D6,rs16947,22,42127941,Topmed Standard
